# The following 108 genes derive from GeneOntology annotations for:
#   BER ((go:0006284) AND (taxonomy_id:9606)), 
#   TLS ((go:0019985) AND (taxonomy_id:9606)), 
#   and NER ((go:0006289) AND (taxonomy_id:9606))								
# GWAS_start and GWAS_end correspond to the gene coordinates +/- 1Mb. 
#   Their coordinates are provided in BED format (0-based coordinates)																
Gene stable ID	Gene name	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Strand	UniProtKB/Swiss-Prot ID	GWAS_start	GWAS_end
ENSG00000174405	LIG4	13	108859787	108870716	-1	P49917	107859786	109870716
ENSG00000138346	DNA2	10	70173821	70231879	-1	P51530	69173820	71231879
ENSG00000139618	BRCA2	13	32889611	32973805	1	P51587	31889610	33973805
ENSG00000020426	MNAT1	14	61201460	61436671	1	P51948	60201459	62436671
ENSG00000149948	HMGA2	12	66217911	66360075	1	P52926	65217910	67360075
ENSG00000140521	POLG	15	89859534	89878092	-1	P54098	88859533	90878092
ENSG00000066427	ATXN3	14	92524896	92572965	-1	P54252	91524895	93572965
ENSG00000179262	RAD23A	19	13056669	13064456	1	P54725	12056668	14064456
ENSG00000119318	RAD23B	9	110045418	110094475	1	P54727	109045417	111094475
ENSG00000165280	VCP	9	35056061	35073246	-1	P55072	34056060	36073246
ENSG00000100479	POLE2	14	50110273	50155140	-1	P56282	49110272	51155140
ENSG00000065057	NTHL1	16	2089816	2097867	-1	P78549	1089815	3097867
ENSG00000158169	FANCC	9	97861336	98079991	-1	Q00597	96861335	99079991
ENSG00000154767	XPC	3	14186647	14220283	-1	Q01831	13186646	15220283
ENSG00000225830	ERCC6	10	50663414	50747584	-1	Q03468	49663413	51747584
ENSG00000177084	POLE	12	133200348	133263951	-1	Q07864	132200347	134263951
ENSG00000177143	CETN1	18	580367	581524	1	Q12798	-419634	1581524
ENSG00000204086	RPA4	X	96138907	96140446	1	Q13156	95138906	97140446
ENSG00000049167	ERCC8	5	60169658	60240900	-1	Q13216	59169657	61240900
ENSG00000139372	TDG	12	104359582	104382652	1	Q13569	103359581	105382652
ENSG00000145736	GTF2H2	5	70330784	70363516	-1	Q13888	69330783	71363516
ENSG00000111358	GTF2H3	12	124118375	124147153	1	Q13889	123118374	125147153
ENSG00000165392	WRN	8	30891317	31031285	1	Q14191	29891316	32031285
ENSG00000103194	USP10	16	84733584	84813528	1	Q14694	83733583	85813528
ENSG00000166803	KIAA0101	15	64657193	64679886	-1	Q15004	63657192	65679886
ENSG00000077514	POLD3	11	74204896	74380162	1	Q15054	73204895	75380162
ENSG00000167986	DDB1	11	61066923	61110068	-1	Q16531	60066922	62110068
ENSG00000163945	UVSSA	4	1341054	1381837	1	Q2YD98	341053	2381837
ENSG00000178685	PARP10	8	145051321	145086940	-1	Q53GL7	144051320	146086940
ENSG00000123415	SMUG1	12	54558529	54582778	-1	Q53HV7	53558528	55582778
ENSG00000162585	C1orf86	1	2115903	2144159	-1	Q6NZ36	1115902	3144159
ENSG00000183474	GTF2H2C	5	68856035	68890550	1	Q6P1K8	67856034	69890550
ENSG00000014824	SLC30A9	4	41992489	42092474	1	Q6PML9	40992488	43092474
ENSG00000157450	RNF111	15	59157374	59389618	1	Q6ZNA4	58157373	60389618
ENSG00000272047	GTF2H5	6	158589384	158620376	1	Q6ZYL4	157589383	159620376
ENSG00000123552	USP45	6	99880190	99969604	-1	Q70EL2	98880189	100969604
ENSG00000154914	USP43	17	9548015	9633008	1	Q70EL4	8548014	10633008
ENSG00000130997	POLN	4	2073645	2243848	-1	Q7Z5Q5	1073644	3243848
ENSG00000086758	HUWE1	X	53559057	53713673	-1	Q7Z6Z7	52559056	54713673
ENSG00000227345	PARG	10	51026325	51130715	-1	Q86W56	50026324	52130715
ENSG00000188827	SLX4	16	3631182	3661599	-1	Q8IY92	2631181	4661599
ENSG00000173163	COMMD1	2	62115859	62374382	1	Q8N668	61115858	63374382
ENSG00000077463	SIRT6	19	4174106	4182601	-1	Q8N6T7	3174105	5182601
ENSG00000188996	HUS1B	6	655939	656963	-1	Q8NHY5	-344062	1656963
ENSG00000109674	NEIL3	4	178230990	178284097	1	Q8TAT5	177230989	179284097
ENSG00000134574	DDB2	11	47236493	47260767	1	Q92466	46236492	48260767
ENSG00000213780	GTF2H4	6	30875961	30881883	1	Q92759	29875960	31881883
ENSG00000175595	ERCC4	16	14014014	14046202	1	Q92889	13014013	15046202
ENSG00000172977	KAT5	11	65479467	65487075	1	Q92993	64479466	66487075
ENSG00000187555	USP7	16	8985951	9058371	-1	Q93009	7985950	10058371
ENSG00000154328	NEIL2	8	11627148	11644855	1	Q969S2	10627147	12644855
ENSG00000096717	SIRT1	10	69644427	69678147	1	Q96EB6	68644426	70678147
ENSG00000140398	NEIL1	15	75639296	75647592	1	Q96FI4	74639295	76647592
ENSG00000170242	USP47	11	11862970	11980870	1	Q96K76	10862969	12980870
ENSG00000198890	PRMT6	1	107599267	107601916	1	Q96LA8	106599266	108601916
ENSG00000164306	PRIMPOL	4	185570767	185616117	1	Q96LW4	184570766	186616117
ENSG00000163743	RCHY1	4	76404247	76439974	-1	Q96PM5	75404246	77439974
ENSG00000039650	PNKP	19	50364461	50371166	-1	Q96T60	49364460	51371166
ENSG00000155229	MMS19	10	99218081	99258551	-1	Q96T76	98218080	100258551
ENSG00000136492	BRIP1	17	59758627	59940882	-1	Q9BX63	58758626	60940882
ENSG00000010072	SPRTN	1	231472850	231490769	1	Q9H040	230472849	232490769
ENSG00000136014	USP44	12	95910336	95945266	-1	Q9H0E7	94910335	96945266
ENSG00000107960	OBFC1	10	105642300	105677963	-1	Q9H668	104642299	106677963
ENSG00000076924	XAB2	19	7684411	7694451	-1	Q9HCS7	6684410	8694451
ENSG00000116863	ADPRHL2	1	36554476	36559533	1	Q9NX46	35554475	37559533
ENSG00000143476	DTL	1	212208919	212280742	1	Q9NZJ0	211208918	213280742
ENSG00000122008	POLK	5	74807581	74896969	1	Q9UBT6	73807580	75896969
ENSG00000169188	APEX2	X	55026790	55035490	1	Q9UBZ4	54026789	56035490
ENSG00000135945	REV1	2	100016938	100106497	-1	Q9UBZ9	99016937	101106497
ENSG00000129484	PARP2	14	20811741	20826064	1	Q9UGN5	19811740	21826064
ENSG00000166169	POLL	10	103338639	103348027	-1	Q9UGP5	102338638	104348027
ENSG00000116670	MAD2L2	1	11734537	11751707	-1	Q9UI95	10734536	12751707
ENSG00000132781	MUTYH	1	45794835	45806142	-1	Q9UIF7	44794834	46806142
ENSG00000101751	POLI	18	51795774	51847636	1	Q9UNA4	50795773	52847636
ENSG00000170734	POLH	6	43543887	43586701	1	Q9Y253	42543886	44586701
ENSG00000126804	ZBTB1	14	64970430	65000408	1	Q9Y2K1	63970429	66000408
ENSG00000198690	FAN1	15	31196055	31235311	1	Q9Y2M0	30196054	32235311
ENSG00000004142	POLDIP2	17	26673659	26684545	-1	Q9Y2S7	25673658	27684545
